"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Token balance","Token tree map chart","As user when provided wallet balance empty, then no data label is display","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see proper headers for symbol, total value and amount","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet with coins at the top of balance page","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see app title","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without and with coins at the top of balance page","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and ETH, MATIC price is not available, then system show error toast","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send multiple wallet addresses with incorrect syntax, info should be raise","0","0","1","0","0"
"Token balance","Total value service","As user when multiple wallets I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without coins at the top of balance page","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when open balance page, trend line chart label is visible ","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press send button I want to open balance page","0","0","1","0","0"
"Token balance","Token tree map chart","As user when check balance, the charts cell's size are properly set depends to percentage of total wallet","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for MATIC wallet address that has been provided","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see description which tokens are handle","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty I want to see trend line for 7d ","0","0","2","0","0"
"Wallet provider","Error handler","As user, when send too short wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send too long wallet address, info should be raise","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total amount value for token balance","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can use navbar in wallets page","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send blank wallet address, info should be raise","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send invalid wallet addresses, then app should maintain the current address path","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for MATIC","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for AVAX wallet address that has been provided","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I can see placeholder in input field","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see symbol name value for token balance","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for ETH wallet address that has been provided","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and only ETH price is not available, then system show error toast","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for AVAX","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty and decrease 10% each past data, trend shows correct line","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet address with illegal char, info should be raise","0","0","1","0","0"
"Token balance","Total value service","As user when no empty I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Token tree map chart","As user I can chart labels with token symbol and current token balance","0","0","1","0","0"
"Token balance","Token balance UI","As user when I navigate back and forward, data should be maintained","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color red indication for lower 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my multiple wallets with coins at the top of balance page","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for higher past value in quote and percentage value","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press enter key I want to open balance page","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see color green indication for higher 1h, 24h, 7d, 30d, 60d, 90d past values","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total asset value for token balance","0","0","1","0","0"
"Token balance","Total value service","As user when empty wallet I want to details calculation of past value for 1h, 24h, 7d in quote and percentage value","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see wallets counter","0","0","1","0","0"
"Home page","Routing app","As normal user, when I open base app URL, then app redirect to URL path '/wallet'","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address refresh page or back from other page then wallet address should be maintained in the input wallets","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see addresses that I provided on the /wallet page","0","0","1","0","0"
"Token balance","Total value service","As user for total diff values I want to see color indication for lower past value in quote and percentage value","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user when open wallet input page, I can use price banner","0","0","1","0","0"
"Token balance","Token balance UI","As user I can switch view of wallet balance details","0","0","1","0","0"
"Token balance","Token balance UI","As user I can scroll down page when I provide multiple wallets","0","0","1","0","0"
"Token balance","Token balance UI","As user when I refresh the balance page, data should be maintained","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for ETH","0","0","1","0","0"
